codebook_version,stage,group,group_instructions,field,type,primary,shown_when,question,decision_rule,options
1.1,screen,Eligibility,Start from the title and abstract. Open the full text whenever the abstract does not settle one of the criteria.,E1,cat,yes,,Is this study eligible for the audit sample?,"Eligible only if all three hold: (1) a peer-reviewed primary study, meaning a journal article or a peer-reviewed conference paper, reporting its own emotion-decoding experiment; (2) at least one result from EEG alone, not EEG fused with other signals, on DEAP, DREAMER or a SEED-family dataset, which is the same test the full-text check X1 applies; (3) the full text can be obtained. Choose Unsure when you cannot decide; the adjudicator settles it.",eligible=Eligible | not_eligible=Not eligible | unsure=Unsure
1.1,screen,Eligibility,Start from the title and abstract. Open the full text whenever the abstract does not settle one of the criteria.,E2,cat,no,E1=not_eligible,Main reason it is not eligible,"Pick the first reason that applies, in this order.","review=Review, survey or tutorial | no_decoding=No emotion-decoding experiment | frame=No EEG-only result on DEAP, DREAMER or a SEED-family dataset | duplicate=Duplicate or earlier version of an included study | not_peer_reviewed=Not peer reviewed (preprint, thesis) | no_full_text=Full text not obtainable | other=Other, explained in the note"
1.1,screen,Eligibility,Start from the title and abstract. Open the full text whenever the abstract does not settle one of the criteria.,note,text,no,,Note,Anything the adjudicator should know.,
1.1,code,Full-text check,,X1,cat,yes,,"On the full text, is this a primary emotion-decoding study with an EEG-only result on DEAP, DREAMER or a SEED-family dataset?","Code the version of record at the DOI. If you can only obtain another version, a preprint or an accepted manuscript, code that one and say so in the note. No for reviews, for studies of other tasks or datasets, and for studies whose only results fuse EEG with other signals. The dataset-origin papers for DEAP, DREAMER and SEED report their own EEG-only classification and are Yes. When No, say why in the note; the remaining questions are skipped.",yes=Yes | no=No
1.1,code,Headline result,"The headline result is the first performance value (accuracy, F1, AUC or similar, not an improvement over a baseline) stated in the abstract for an EEG-only emotion-decoding result on DEAP, DREAMER or a SEED-family dataset. Skip earlier values that fuse modalities or come from other datasets. If the abstract gives no such value, use the first main results table that reports one, and take the EEG-only row of the proposed method, or the best EEG-only row when the paper proposes no method, as in dataset and benchmark papers. Whenever valence and arousal are reported together, code valence.",H1,cat,no,X1=yes,Dataset of the headline result,,DEAP=DEAP | DREAMER=DREAMER | SEED=SEED | SEED-IV=SEED-IV | SEED-V=SEED-V | SEED-VII=SEED-VII
1.1,code,Headline result,"The headline result is the first performance value (accuracy, F1, AUC or similar, not an improvement over a baseline) stated in the abstract for an EEG-only emotion-decoding result on DEAP, DREAMER or a SEED-family dataset. Skip earlier values that fuse modalities or come from other datasets. If the abstract gives no such value, use the first main results table that reports one, and take the EEG-only row of the proposed method, or the best EEG-only row when the paper proposes no method, as in dataset and benchmark papers. Whenever valence and arousal are reported together, code valence.",H2,cat,no,X1=yes,Task of the headline result,,"valence_binary=Valence, two classes | arousal_binary=Arousal, two classes | quadrant=Valence-arousal quadrants, four classes | discrete=Discrete emotion categories (for example SEED three classes) | other=Other"
1.1,code,Headline result,"The headline result is the first performance value (accuracy, F1, AUC or similar, not an improvement over a baseline) stated in the abstract for an EEG-only emotion-decoding result on DEAP, DREAMER or a SEED-family dataset. Skip earlier values that fuse modalities or come from other datasets. If the abstract gives no such value, use the first main results table that reports one, and take the EEG-only row of the proposed method, or the best EEG-only row when the paper proposes no method, as in dataset and benchmark papers. Whenever valence and arousal are reported together, code valence.",H3,cat,no,X1=yes,Metric of the headline result,,accuracy=Accuracy | f1=F1 | auc=AUC | other=Other
1.1,code,Headline result,"The headline result is the first performance value (accuracy, F1, AUC or similar, not an improvement over a baseline) stated in the abstract for an EEG-only emotion-decoding result on DEAP, DREAMER or a SEED-family dataset. Skip earlier values that fuse modalities or come from other datasets. If the abstract gives no such value, use the first main results table that reports one, and take the EEG-only row of the proposed method, or the best EEG-only row when the paper proposes no method, as in dataset and benchmark papers. Whenever valence and arousal are reported together, code valence.",H4,num,no,X1=yes,Headline value,"As printed, in the metric of H3. A percentage such as 94.5 is fine; it is converted to 0.945 for comparison. If a range or several folds are given, enter the highest value.",
1.1,code,How the headline result was evaluated,,S1,cat,no,X1=yes,Evaluation design,"Code the labeled data that trained the model before any adaptation or calibration, which T1 records separately. If the test participants were in that training data: one model per participant is Subject-dependent when the test data come from sessions also used in training, and Cross-session when the test session was not used; one model shared by several participants is Pooled, whatever the sessions. If the test participants were not in it: Participant-independent when some labeled training data came from the same dataset, including leave-one-subject-out across sessions, and Cross-dataset when none did.","subject_dependent=Subject-dependent: a separate model for each participant, tested on sessions used in training | pooled=Pooled: one model, participants mixed across training and test | independent=Participant-independent within the dataset (leave-one-subject-out or participants grouped) | cross_dataset=Cross-dataset: trained on one dataset, tested on another | cross_session=Cross-session: a separate model for each participant, tested on a session not used in training | unclear=Unclear"
1.1,code,How the headline result was evaluated,,S2,cat,yes,X1=yes,Were participants disjoint between training and test?,"Yes only if no labeled data from any test participant, meaning no window, trial or session, was used to train the model. Judge the split alone: unlabeled test-participant data belongs in T1, calibration or fine-tuning on the test participant belongs in T1, and tuning on test results belongs in M1. Subject-dependent, pooled and cross-session designs are No.",yes=Yes | no=No | unclear=Unclear
1.1,code,How the headline result was evaluated,,S3,cat,yes,X1=yes,Were trials disjoint between training and test?,"Yes only if no window cut from a test trial, meaning one viewing of one clip, appears in training. Random k-fold or a random split made after cutting trials into windows is No. A participant-disjoint split counts as Yes.",yes=Yes | no=No | unclear=Unclear
1.1,code,How the headline result was evaluated,,S4,cat,no,X1=yes,Were stimuli disjoint between training and test?,"Yes only if no clip shown in the test set was used in training by any participant. Standard leave-one-subject-out on DEAP, DREAMER or SEED is No, because every participant watched the same clips.",yes=Yes | no=No | unclear=Unclear
1.1,code,How the headline result was evaluated,,U1,cat,no,X1=yes,Unit on which the headline metric is computed,"Window when each window or segment prediction is scored as a separate test case, even if accuracies are averaged per participant afterwards. Trial when there is one prediction per trial, either from trial-level features or from window predictions aggregated to the trial. Participant when there is one prediction per participant. Code this regardless of the evaluation design.","window=Window or segment | trial=Trial | participant=Participant | other=Other, explained in the note | unclear=Unclear"
1.1,code,How the headline result was evaluated,,S5,cat,no,X1=yes,How clearly is the split reported?,"Stated explicitly: the paper says in words which unit was held out, whether windows, trials, sessions or participants. Inferred: you worked the unit out from other details, for example that the number of folds equals the number of participants, or that a 10-fold split of all samples never mentions trials or participants. Not reported: it cannot be worked out, in which case S2 or S3 is normally Unclear.",explicit=Stated explicitly | inferred=Inferred from the description | not_reported=Not reported
