paper_id,citation,year,venue,datasets,task,model_family,eval_protocol,statistical_unit,normalization_scope,headline_metric,subject_independent_eval,subject_id_as_confound,generalization_claim,leakage_risk,confidence,category,notes,normalization_class
Koelstra2012,"Koelstra et al., DEAP: A Database for Emotion Analysis using Physiological Signals",2012,IEEE Trans. Affective Computing,DEAP,valence/arousal/liking binary,classical (Gaussian NB),subject-dependent (leave-one-trial-out),trial,per-subject,F1 0.58-0.62,none,no,within-subject,Medium,high,dataset,Single-trial within-subject; modest accuracy; no population claim,per-subject (scope unverified)
Zheng2015,"Zheng & Lu, Investigating Critical Frequency Bands and Channels for EEG Emotion Recognition with Deep Belief Networks",2015,IEEE Trans. Autonomous Mental Development,SEED,3-class,DBN,subject-dependent (within-session split),"segment (DE, 1s)",per-subject,acc 0.86,none,no,ambiguous,Medium,med,dataset,SEED origin; subject-dependent headline,per-subject (scope unverified)
Katsigiannis2018,"Katsigiannis & Ramzan, DREAMER: A Database for Emotion Recognition through EEG/ECG from Low-cost Devices",2018,IEEE J. Biomedical and Health Informatics,DREAMER,valence/arousal/dominance binary,classical (SVM),subject-dependent (leave-one-out),trial/segment,per-subject,acc ~0.62,none,no,within-subject,Medium,med,dataset,DREAMER origin; within-subject,per-subject (scope unverified)
Alhagry2017,"Alhagry et al., Emotion Recognition based on EEG using LSTM Recurrent Neural Network",2017,IJACSA,DEAP,valence/arousal/liking binary,RNN-LSTM,"subject-dependent (per-participant, segment split)",segment,per-subject,acc 0.85,none,no,ambiguous,High,high,primary,Per-participant segment-level over overlapping segments; widely cited '85%',per-subject (scope unverified)
Tripathi2017,"Tripathi et al., Using Deep and Convolutional Neural Networks for Accurate Emotion Classification on DEAP",2017,AAAI/IAAI,DEAP,valence/arousal binary & 3-class,CNN/DNN,mixed-subject pooled (random split),sample/segment,global,acc 0.75 val / 0.81 aro,none,no,population (implied),High,med,primary,Subjects pooled; random split -> direct identity leak,global (scope unverified)
YangCNNRNN2018,"Yang et al., Continuous/parallel CNN-RNN for EEG emotion on DEAP",2018,IJCNN / Neurocomputing,DEAP,valence/arousal binary,CNN-RNN,subject-dependent / mixed (segment CV),segment,per-subject,acc ~0.90,none,no,ambiguous,High,low,primary,Segment-level CV; protocol partly unclear,per-subject (scope unverified)
Song2018,"Song et al., EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks (DGCNN)",2018,IEEE Trans. Affective Computing,"SEED, DREAMER",3-class / binary,GNN,subject-dependent (primary) + some subject-independent,segment (DE),per-subject,SEED 0.904 subj-dep,partial,no,population,Medium,high,primary,Reports subject-dependent headline plus limited cross-subject; verified,per-subject (scope unverified)
Zhong2020,"Zhong et al., EEG-Based Emotion Recognition Using Regularized Graph Neural Networks (RGNN)",2020,IEEE Trans. Affective Computing,"SEED, SEED-IV",3/4-class,GNN,subject-dependent + subject-independent (LOSO),"segment (DE, 1s)",per-subject,SEED 0.949 subj-dep / 0.853 LOSO,primary,partial,population,Low,high,primary,Genuinely reports LOSO; NodeDAT targets cross-subject shift; verified,per-subject (scope unverified)
Li2018hcnn,"Li et al., Hierarchical Convolutional Neural Networks for EEG-Based Emotion Recognition",2018,Cognitive Computation,SEED,3-class,CNN,subject-dependent (within-subject CV),segment,per-subject,acc ~0.88,none,no,ambiguous,Medium,low,primary,Protocol inferred from abstract,per-subject (scope unverified)
Li2018bidann,"Li et al., A Bi-Hemisphere Domain Adversarial Neural Network (BiDANN) for EEG Emotion Recognition",2018,IEEE Trans. Affective Computing,SEED,3-class,domain-adversarial NN,subject-independent (LOSO),segment (DE),per-subject,SEED ~0.923 LOSO,primary,yes,population,Low,high,honest,Subject-independent via adversarial removal of subject info; verified,per-subject (scope unverified)
Li2020r2g,"Li et al., From Regional to Global Brain (R2G-STNN) for EEG Emotion Recognition",2020,IEEE Trans. Affective Computing,SEED,3-class,RNN/GNN,subject-dependent + subject-independent,segment,per-subject,SEED ~0.93,partial,no,population,Medium,low,primary,Reports both; protocol partly inferred,per-subject (scope unverified)
Tao2020,"Tao et al., EEG Emotion Recognition via Channel-wise Attention and Self Attention (ACRNN)",2020,IEEE Trans. Affective Computing,DEAP,valence/arousal binary,CNN-RNN + attention,subject-dependent (10-fold over segments),segment,per-subject,val 0.937 / aro 0.934,none,no,ambiguous,High,high,primary,Subject-dependent 10-fold over (overlapping) segments; verified,per-subject (scope unverified)
Cui2020,"Cui et al., End-to-End Regional-Asymmetric CNN (RACNN) for EEG Emotion Recognition",2020,Knowledge-Based Systems,DEAP,valence/arousal binary,CNN,subject-dependent (segment CV),segment,per-subject,acc ~0.97,none,no,ambiguous,High,low,primary,Very high reported accuracy; segment-level; protocol inferred,per-subject (scope unverified)
